,word,pos,countentries,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14
1,fear,n,14,emotion caused by sense of danger,fear,apprehension,towards something seen as source of danger,religious awe,instance/action of intimidating/bullying,anxiety,anxiety for safety of a person/thing,one who/that which inspires fear,causing apprehension/alarm,NA,NA,NA,NA,1175,1225,1300,1340,1400,1426,1490,1490,1535,1535,NA,NA,NA,NA
2,passionate,aj,12,angry,irascible (of person),affected with passion/strong emotion,in love,strong (of feelings),characterized by passion,exciting pity,sorrowful/afflicted with grief,subject to passion/strong emotion,of speech: angry,NA,NA,NA,NA,1425,1450,1526,1534,1567,1581,1585,1586,1589,1590,NA,NA,NA,NA
3,strike,vt,11,affect intensely,cause to fall suddenly into emotion,seize/strike (of an emotion),strike with emotion,make acquaintance,severely,(of fear) strike,intimidate/bully,win the affection of,cause to have effect on,NA,NA,NA,NA,1400,1440,1533,1533,1595,1598,1598,1598,1599,1615,NA,NA,NA,NA
4,warm,aj,11,ardent/fervent,excited,abounding in love,angry,irascible (of person),(of an embrace) warm,characterized by warmth,tender,impetuous,affectionate,NA,NA,NA,NA,1390,1390,1480,1547,1547,1588,1742,1742,1749,1765,NA,NA,NA,NA
5,comfortable,aj,10,pleasant/enjoyable,giving consolation/relief,cheering/suggestive of cheerfulness,cheerful,capable of being,contenting/satisfying,contented/satisfied,free from trouble/care/sorrow,self-satisfied,calm,NA,NA,NA,NA,1340,1377,1400,1593,1609,1769,1770,1770,1856,1865,NA,NA,NA,NA
6,feeling,n,10,emotion,an emotion,emotional perception,emotional attitude,sensitiveness/tenderness,capacity to feel,effect produced on emotions,state of consciousness including,element of pleasure/pain,emotion with sensation and desire,NA,NA,NA,NA,1400,1400,1400,1425,1588,1588,1593,1734,1836,1871,NA,NA,NA,NA
7,heart,n,10,seat of love/affections,seat of love,terms of endearment,man of mettle,emotional attitude,source of,emotion,capacity for higher emotions,sensitiveness/tenderness,sensibility/tenderness for others,NA,NA,NA,NA,1175,1297,1300,1500,1512,1682,1735,1735,1735,1735,NA,NA,NA,NA
8,passion,n,10,suffering,an emotion,a passion,furious anger,fit(s)/outburst(s) of anger,amorous love,passion,sudden outburst/access of passion,enthusiasm (for something),loved one,NA,NA,NA,NA,1225,1249,1249,1520,1530,1588,1590,1590,1638,1783,NA,NA,NA,NA
9,resentment,n,10,indignation/resentment,an emotion,trace of an emotion,sorrow caused by loss,regret,capacity for emotion,grateful appreciation,remorse,emotional attitude,feeling of something enjoyed,NA,NA,NA,NA,1613,1622,1622,1632,1632,1640,1640,1646,1654,1660,NA,NA,NA,NA
10,sad,aj,10,sorrowful/afflicted with grief,dejected,characterized by sorrow,of appearance,causing sorrow/grief,of sorrowful appearance,valiant,serious/solemn,of the appearance/face,gloomy/depressing,NA,NA,NA,NA,1299,1299,1300,1350,1374,1374,1384,1400,1593,1600,NA,NA,NA,NA
11,fearful,aj,9,frightening,awe-inspiring,fearful,timid,anxious,indicating/proceeding from fear,uneasy,giving signs of anxiousness,full of awe,NA,NA,NA,NA,NA,1340,1340,1374,1374,1535,1535,1535,1535,1597,NA,NA,NA,NA,NA
12,fury,n,9,violent emotion,fit of violent emotion,furious anger,instance/fit of furious anger,woman,shrew,of poets and prophets,fury of beasts,one who/that which annoys,NA,NA,NA,NA,NA,1374,1374,1374,1374,1374,1374,1546,1592,1856,NA,NA,NA,NA,NA
13,huff,n,9,fit(s)/outburst(s) of anger,sudden swell of pride,arrogance,blustering/bravado,person,fit of,fit of,instance of,instance/action of intimidating/bullying,NA,NA,NA,NA,NA,1599,1599,1611,1611,1667,1684,1684,1773,1773,NA,NA,NA,NA,NA
14,pity,n,9,mercy,fellow-feeling,tenderness aroused by the suffering of others,compassion,a matter for regret,cause/ground for pity,pitiable condition,remorse,object of pity,NA,NA,NA,NA,NA,1225,1290,1290,1290,1325,1325,1400,1483,1712,NA,NA,NA,NA,NA
15,sentiment,n,9,emotional perception,emotional attitude,an emotion,involving ideal considerations,expressed in art/literature,emotional reflection,sentimentality,refined,as principle of action/judgement,NA,NA,NA,NA,NA,1374,1639,1652,1652,1709,1762,1768,1768,1851,NA,NA,NA,NA,NA
16,spleen,n,9,seat of laughter,seat of melancholy feelings,merriment,spirited pride,highspiritedness,ill-naturedness,indignation/resentment,ill-humour,melancholy,NA,NA,NA,NA,NA,1390,1390,1588,1592,1592,1594,1600,1600,1664,NA,NA,NA,NA,NA
17,fear,vt,8,deter,frighten away,be afraid of,be afraid that,drive by fear to/into,be apprehensive,hesitate through timidity,apprehend the non-occurrence of something,NA,NA,NA,NA,NA,NA,1380,1420,1460,1526,1563,1597,1603,1699,NA,NA,NA,NA,NA,NA
18,jolly,aj,8,elated,merry,cheerful,high-spirited,presumptuous,spirited/lively,pleasant,pleasant,NA,NA,NA,NA,NA,NA,1305,1305,1310,1330,1340,1400,1549,1916,NA,NA,NA,NA,NA,NA
19,wrath,n,8,fit(s)/outburst(s) of anger,instance/fit of furious anger,fit of,act done in anger,act done in indignation,excessive ardour/fervour,impetuosity,ardour of passion,NA,NA,NA,NA,NA,NA,1200,1200,1200,1440,1440,1489,1489,1600,NA,NA,NA,NA,NA,NA
20,courage,n,7,breast/heart,courage,anger,haughtiness/disdainfulness,spiritedness/liveliness,one who is high-spirited,bravery/boldness,NA,NA,NA,NA,NA,NA,NA,1300,1375,1386,1483,1498,1561,1608,NA,NA,NA,NA,NA,NA,NA
21,gall,n,7,sourness/bitterness of temper,indignation/resentment,one who/that which harasses,harassing effect,state of annoyance/vexation,cause of annoyance/vexation,impudence,NA,NA,NA,NA,NA,NA,NA,1200,1390,1537,1548,1591,1591,1882,NA,NA,NA,NA,NA,NA,NA
